fórmula,reação,tipo de candidato,suporte sugerido,rota de sintese sugerida,pre-tratamento sugerido,justificativa quimica do suporte e sintese,observacao de sintese,Estabilidade termodinâmica (eV/átomo),score de estabilidade,score de atividade,score de seletividade,score DFT/proxy DFT,score de confiança,score de basicidade,score redox,score de resistência a coque,penalidade de tendência a coque,taxa proxy de desativação por coque,score de atividade corrigida por coque,penalidade de coque na condição,taxa de desativação por coque na condição,score composicional matminer,score químico pymatgen,score GNN local,energia GNN local (eV/átomo),energia de formação GNN local (eV/átomo),modelo GNN local,usou GNN local,estrutura proxy GNN,fonte da estabilidade na triagem,peso de Boltzmann da estabilidade,score DFT ajustado por Boltzmann,descritor volcano,energia de adsorção volcano (eV),fonte do volcano,distância ao ótimo volcano (eV),barreira aparente volcano (eV),taxa relativa volcano,score volcano,score final do material,score Catalysis-Hub incremental,energia média Catalysis-Hub (eV),número de evidências Catalysis-Hub,adsorbatos encontrados no Catalysis-Hub,usou Catalysis-Hub incremental,regime operacional,temperatura (°C),pressão (bar),razao_nome,razao,ghsv_h-1,conversão prevista (%),seletividade prevista (%),rendimento ou produtividade prevista (%),score final,conversão média na faixa (%),seletividade média na faixa (%),rendimento médio na faixa (%),score da faixa de condição,probabilidade Monte Carlo de ficar no top 5,média Monte Carlo do score final,desvio Monte Carlo do score final,limite inferior IC95 da probabilidade top 5,limite superior IC95 da probabilidade top 5,largura do IC95 da probabilidade top 5,confiabilidade
Ni0.89Y0.11,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.35348122952884853,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.35348122952884853,0.0,0.0,0.6696245905769718,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5866666666666667,Catalysis-Hub,0.2633333333333333,0.8833333333333333,7.177400171629084e-08,0.4712432083180534,0.6478765619498063,0.5033005510223216,-0.5866666666666667,3,H,True,alta_conversao,400,1,H2/CO2,4.0,30000,52.34777376123967,89.54263706096016,46.873577068519374,0.6306052321616078,51.724269681194144,88.20349946108065,45.59708504234988,0.6082988322350682,0.39,0.6517996978694746,0.011081234742779986,0.3365181094296177,0.4463098509060531,0.10979174147643539,alta
Ni0.90Y0.10,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.35306683616207424,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.35306683616207424,0.0,0.0,0.6613367232414855,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5866666666666667,Catalysis-Hub,0.2633333333333333,0.8833333333333333,7.177400171629084e-08,0.4712432083180534,0.6477448113803475,0.5033005510223216,-0.5866666666666667,3,H,True,alta_conversao,400,1,H2/CO2,4.0,30000,52.32859816124714,89.54263706096016,46.8564067306138,0.630475784186952,51.705322478017244,88.20349946108065,45.58038229835957,0.6081729351903897,0.42333333333333334,0.6525804095532491,0.011018042652445425,0.3687178446421085,0.4799198489909023,0.11120200434879379,alta
Ni0.91Y0.09,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3526433725005153,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3526433725005153,0.0,0.0,0.6528674500103074,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5866666666666667,Catalysis-Hub,0.2633333333333333,0.8833333333333333,7.177400171629084e-08,0.4712432083180534,0.6476101770376461,0.5033005510223216,-0.5866666666666667,3,H,True,alta_conversao,400,1,H2/CO2,4.0,30000,52.309002843279984,89.54263706096016,46.83886056616553,0.630343502838542,51.68596055604432,88.20349946108065,45.56331396258169,0.6080442824951643,0.43333333333333335,0.6526396310810808,0.011412712928056108,0.37842813322863034,0.48995247464920455,0.11152434142057421,alta
Ni0.92Y0.08,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.35221083854417184,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.35221083854417184,0.0,0.0,0.6442167708834379,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5866666666666667,Catalysis-Hub,0.2633333333333333,0.8833333333333333,7.177400171629084e-08,0.4712432083180534,0.647472658921702,0.5033005510223216,-0.5866666666666667,3,H,True,alta_conversao,400,1,H2/CO2,4.0,30000,52.28898780733818,89.54263706096016,46.820938575174544,0.6302083881163776,51.66618391527531,88.20349946108065,45.54588003501629,0.6079128741493921,0.36666666666666664,0.6515595730015953,0.01150084837857626,0.314136120736131,0.4226250027725112,0.10848888203638019,alta
Ni0.93Y0.07,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3517692342930438,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3517692342930438,0.0,0.0,0.6353846858608767,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5866666666666667,Catalysis-Hub,0.2633333333333333,0.8833333333333333,7.177400171629084e-08,0.4712432083180534,0.6473322570325154,0.5033005510223216,-0.5866666666666667,3,H,True,alta_conversao,400,1,H2/CO2,4.0,30000,52.26855305342176,89.54263706096016,46.80264075764086,0.6300704400204589,51.64599255571028,88.20349946108065,45.52808051566335,0.6077787101530732,0.38333333333333336,0.6514215425681805,0.0107836597839417,0.3301097512666944,0.4395562579964571,0.1094465067297627,alta
Ni0.94Y0.06,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3513185597471311,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3513185597471311,0.0,0.0,0.6263711949426237,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5903225170733177,proxy_GNN_DFT_estabilidade,0.25967748292668225,0.8796774829266822,7.683058840904536e-08,0.4761912758218956,0.6477827394705472,,,0,,False,alta_conversao,400,1,H2/CO2,4.0,30000,52.2476985815307,89.54263706096016,46.783967113564465,0.6302146672390072,51.62538647734922,88.20349946108065,45.509915404522864,0.6076417905062074,0.5166666666666667,0.6557552385364118,0.014780528020695967,0.46022436167188263,0.5726804830056182,0.11245612133373561,alta
Ni0.95Y0.05,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3508588149064339,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3508588149064339,0.0,0.0,0.617176298128679,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5903225170733177,proxy_GNN_DFT_estabilidade,0.25967748292668225,0.8796774829266822,7.683058840904536e-08,0.4761912758218956,0.6476365700348753,,,0,,False,alta_conversao,400,1,H2/CO2,4.0,30000,52.226424391665006,89.54263706096016,46.76491764294536,0.6300710523955797,51.60436568019209,88.20349946108065,45.49138470159483,0.6075021152087949,0.5366666666666666,0.6561296418905413,0.013686908296992433,0.48008616885314953,0.5923044913024436,0.11221832244929403,alta
Ni0.96Y0.04,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3504433106575963,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3504433106575963,0.0,0.0,0.6088662131519275,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5903225170733177,proxy_GNN_DFT_estabilidade,0.25967748292668225,0.8796774829266822,7.683058840904536e-08,0.4761912758218956,0.6475044662760169,,,0,,False,alta_conversao,400,1,H2/CO2,4.0,30000,52.207197386819516,89.54263706096016,46.74770127577887,0.6299412574041888,51.585367684435376,88.20349946108065,45.47463718184264,0.6073758806665113,0.44,0.6541678351991891,0.013802283679290322,0.3849143697529926,0.496628179816136,0.1117138100631434,alta
Ni0.97Y0.03,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.3500215419501133,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.3500215419501133,0.0,0.0,0.6004308390022676,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5903225170733177,proxy_GNN_DFT_estabilidade,0.25967748292668225,0.8796774829266822,7.683058840904536e-08,0.4761912758218956,0.6473703708202346,,,0,,False,alta_conversao,400,1,H2/CO2,4.0,30000,52.18768050099913,89.54263706096016,46.730225341543125,0.6298095055246118,51.56608326041927,88.20349946108065,45.45763716372204,0.6072477429160852,0.47,0.6540471885904205,0.014065935280987997,0.4142269060952713,0.5265443725966445,0.11231746650137325,alta
Ni0.99Y0.01,metanacao,metal_promovido,Al2O3 ou SiO2-Al2O3,impregnacao incipiente do metal ativo em suporte de alta area,calcinacao em ar entre 450 e 550 C seguida de reducao em H2 diluido,suporte de alta area favorece dispersao da fase ativa em metanacao,confirmar carga metalica e pH de impregnacao conforme solubilidade dos precursores,0.0071352902631582,0.952431398245612,0.35,0.9067521602292204,0.6604721000115974,0.996842716667691,0.0842105263157894,0.031578947368421,0.4,0.0,0.0,0.35,0.0,0.0,0.6,0.75,1.0,-4.6743574142456055,,CHGNet,True,estrutura_cubica_proxy_por_composicao,MP,0.8755737608201184,0.6927373491328755,CO,0.5903225170733177,proxy_GNN_DFT_estabilidade,0.25967748292668225,0.8796774829266822,7.683058840904536e-08,0.4761912758218956,0.6473635218587833,,,0,,False,alta_conversao,400,1,H2/CO2,4.0,30000,52.18668367080938,89.54263706096016,46.7293327535042,0.6298027762619453,51.565098303278674,88.20349946108065,45.45676888322664,0.6072411982460366,0.5466666666666666,0.6555612968192741,0.015417826759660157,0.4900506892315143,0.6020828801078304,0.1120321908763161,alta
